Nickname,License Plate,Model,Status,Year,Kilometers,Branch Office,Date Start of Activity,VIN (Vehicle Identification Number),Location,Type of service,Financial Responsibility Of,Engine number
camry,UU810NU,Camry,Delivered,2016,179392,Tbilisi International Airport,4/5/2024,,,There are no services,,
Outlander,UZ357UU,Outlander ,Delivered,2017,123,Tbilisi International Airport,7/14/2025,,,There are no services,,
Rav 4,VASKASPARTNIOR,Rav 4,Free,2016,123,Tbilisi International Airport,8/18/2025,,,There are no services,,
VERSA 6125CK,VERSA,Yaris,Delivered,2018,123,Tbilisi International Airport,8/7/2025,,,There are no services,,
Rav4-2,VJ233VJ,Rav 4,Delivered,0,0,Tbilisi International Airport,3/29/2024,,,There are no services,,
avtto,VXAVTOA,Prius,Free,0,0,Tbilisi International Airport,7/20/2024,,,There are no services,,
WEB12-1,WEB12-1,Renegade,Free,0,0,Tbilisi International Airport,7/9/2025,,,There are no services,,
Prius,WH640WH,Prius,Free,0,134973,Tbilisi International Airport,4/11/2025,,,There are no services,,
Outlander,WQ013WQ,Outlander ,Delivered,2019,123,Tbilisi International Airport,6/25/2025,,,There are no services,,
Renegade,WQ497WQ,Renegade,Delivered,2019,123,Tbilisi International Airport,8/12/2025,,,There are no services,,
Compass,WT967WT,Compass,Free,2013,94375,Tbilisi International Airport,3/14/2024,,,There are no services,,
Camry,WW929SS,Camry,Delivered,2022,174000,Tbilisi International Airport,7/15/2025,,,There are no services,,
Prius,XM123XM,Prius,Delivered,2015,123,Tbilisi International Airport,8/16/2025,,,There are no services,,
xv100io,XV100IO,XV,Free,2016,123,Tbilisi International Airport,7/22/2025,,,There are no services,,
Quest,YP213YP,Quest,Free,2013,123,Tbilisi International Airport,4/11/2025,,,There are no services,,
Outlander,YU300LO,Outlander ,Free,2019,124000,Tbilisi International Airport,6/28/2024,,,There are no services,,
Prius C,YY371NN,Prius C,Free,2014,148023,Tbilisi International Airport,6/23/2024,,,There are no services,,
Outlander xl,GA505BY,Outlander ,Delivered,2019,123,Tbilisi International Airport,6/14/2025,,,There are no services,,
Elantra,GA881BI,Elantra,Free,2016,213,Tbilisi International Airport,7/15/2025,,,There are no services,,
malibu,JG471JG,Malibu,Delivered,2020,0,Tbilisi International Airport,8/1/2025,,,There are no services,,
Camry,KP352PK,Camry,Free,2016,111,Tbilisi International Airport,5/1/2024,,,There are no services,,
,PA500PO,Outlander ,Free,2019,123,Tbilisi International Airport,7/19/2025,,,There are no services,,
Xv,PB452PB,XV,Free,0,0,Tbilisi International Airport,4/5/2024,,,There are no services,,
Forester,-2-,Forester,Free,2018,123,Tbilisi International Airport,7/22/2024,,,There are no services,,
Elantra,AC414AA,Elantra,Delivered,2019,123,Tbilisi International Airport,8/12/2025,,,There are no services,,
Fusion,ARVICI3,Fusion,Free,2014,86696,Tbilisi International Airport,4/5/2024,,,There are no services,,
Prius,AVTOSPRIUS,Prius,Free,2015,206737,Tbilisi International Airport,5/21/2024,,,There are no services,,
Prius c,BB163BM,Prius C,Delivered,2014,1825080,Tbilisi International Airport,3/1/2024,,,There are no services,,
Elantra,BE821BB,Elantra,Free,2020,95416,Tbilisi International Airport,4/16/2025,,,There are no services,,
5-1,BEKA AXALI PARTNIORI,Elantra,Free,0,111,Tbilisi International Airport,4/12/2025,,,There are no services,,
camry,BULUGA,Camry,Free,2014,133815,Tbilisi International Airport,4/25/2024,,,There are no services,,
Prius,CF711CF,Prius,Delivered,2014,122,Tbilisi International Airport,5/16/2025,,,There are no services,,
Prius,DD294BBB,Prius,Free,2015,123,Tbilisi International Airport,6/9/2024,,,There are no services,,
NO5-1,EKOSCAMRY,Camry,Free,0,0,Tbilisi International Airport,7/21/2024,,,There are no services,,
Rav 4,FK051FF,Rav 4,Delivered,0,309148,Tbilisi International Airport,7/21/2024,,,There are no services,,
GIAGIA,GIAMAZDA,6,Free,2015,123,Tbilisi International Airport,8/10/2025,,,There are no services,,
Fusion,GIVIJQ,Fusion,Free,0,0,Tbilisi International Airport,6/13/2024,,,There are no services,,
Jetta,GQ100IO,Jetta,Free,2012,0,Tbilisi International Airport,6/1/2025,,,There are no services,,
TGLEASING,HG407HG,Camry,Delivered,2017,2222,Tbilisi International Airport,8/9/2025,,,There are no services,,
Prius,HH938II,Prius,Delivered,2015,196802,Tbilisi International Airport,4/4/2024,,,There are no services,,
Fusion,HM885MMM,Fusion,Free,2015,123,Tbilisi International Airport,3/25/2025,,,There are no services,,
Camry,ILIAEKIMI,Camry,Free,2015,123,Tbilisi International Airport,7/18/2024,,,There are no services,,
fusion,IP983II,Fusion,Delivered,2016,123,Tbilisi International Airport,5/1/2025,,,There are no services,,
XV,IV668VV,XV,Free,2018,167375,Tbilisi International Airport,6/1/2025,,,There are no services,,
muxbespart,JS211JS,Optima,Delivered,2016,123,Tbilisi International Airport,8/14/2025,,,There are no services,,
Fusion,JU614UJ,Fusion,Delivered,2016,198,Tbilisi International Airport,7/19/2024,,,There are no services,,
SantaFE,KC017KC,Santa Fe,Delivered,2022,123,Tbilisi International Airport,7/29/2025,,,There are no services,,
JETTA,KK029RK,Jetta,Delivered,2018,123,Tbilisi International Airport,5/1/2025,,,There are no services,,
PRIUS,LL768LN,Prius,Delivered,2014,175152,Tbilisi International Airport,4/18/2024,,,There are no services,,
Forester,MO030VE,Forester,Delivered,2017,123,Tbilisi International Airport,7/5/2025,,,There are no services,,
fusion,MR929SH,Fusion,Delivered,2017,123,Tbilisi International Airport,5/3/2025,,,There are no services,,
NO4-1,MU400QS,Cruze,Free,0,0,Tbilisi International Airport,7/21/2024,,,There are no services,,
Elantra,NS726NN,Elantra,Delivered,2021,58818,Tbilisi International Airport,7/17/2025,,,There are no services,,
FORESTER,OO900GG,Forester,Delivered,2016,47746,Tbilisi International Airport,3/19/2024,,,There are no services,,
Prius,PH608PH,Prius,Free,2015,111,Tbilisi International Airport,3/15/2024,,,There are no services,,
PRIUS,QC163QQ,Prius,Delivered,2014,1287624,Tbilisi International Airport,2/26/2024,,,There are no services,,
Outlander,QN810QQ,Outlander ,Free,2020,123,Tbilisi International Airport,8/9/2025,,,There are no services,,
Renegade,RENEGADLOMISA,Renegade,Free,2019,123,Tbilisi International Airport,6/18/2024,,,There are no services,,
Prius c,ROBOLURJI,Prius C,Free,2015,123,Tbilisi International Airport,7/19/2024,,,There are no services,,
Optima,SL323AY,Optima,Delivered,2018,126946,Tbilisi International Airport,4/30/2025,,,There are no services,,
Fusion,TEMOFUSIO,Fusion,Free,2017,123,Tbilisi International Airport,6/18/2024,,,There are no services,,
Sonata,UB362UB,Elantra,Free,2016,123,Tbilisi International Airport,8/3/2025,,,There are no services,,
Forester,VI414PS,Forester,Delivered,2018,123,Tbilisi International Airport,4/15/2025,,,There are no services,,
CAMRY,VI515PS,Camry,Delivered,2015,122,Tbilisi International Airport,5/28/2025,,,There are no services,,
FUSION,XF729XF,Fusion,Free,2014,123,Tbilisi International Airport,4/30/2025,,,There are no services,,
Outback,YQ687QY,Outback,Free,2015,164134,Tbilisi International Airport,8/4/2024,,,There are no services,,
Prius,SI NOMREBI S,Prius,Free,2015,123,Tbilisi International Airport,6/18/2024,,,There are no services,,
ARVICI ,ARVICIT,Camry,Free,2018,123,Tbilisi International Airport,8/12/2025,,,There are no services,,
Quest,GA077BY,Quest,Delivered,2016,123,Tbilisi International Airport,6/16/2024,,,There are no services,,
